證券代號,交易日,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
3048,2021-12-01,347892,822,11068011,31.7,31.95,31.35,31.9,0.15,31.85,8,31.95,32,7.44
3049,2021-12-01,6287102,2200,85268206,13.4,13.75,13.3,13.75,0.15,13.7,28,13.75,85,11.18
3050,2021-12-01,830569,318,14796845,17.7,18.0,17.6,17.85,0.15,17.8,8,17.85,1,19.62
3051,2021-12-01,1470062,552,16358931,10.9,11.25,10.9,11.2,0.15,11.2,34,11.25,96,4.38
3052,2021-12-01,227762,78,2434658,10.65,10.75,10.6,10.75,0.15,10.7,7,10.75,42,21.94
3054,2021-12-01,368086,216,9014572,24.9,25.0,24.3,24.6,0.4,24.6,1,24.9,6,49.2
3055,2021-12-01,142942,120,4153023,28.5,29.55,28.5,29.25,0.1,29.25,4,29.35,1,0.0
3056,2021-12-01,473438,317,19162009,40.05,41.25,40.0,40.7,0.25,40.55,9,40.7,11,5.75
3057,2021-12-01,52007,112,709436,13.55,13.8,13.55,13.65,0.1,13.6,19,13.8,7,0.0
3058,2021-12-01,969086,468,15487355,16.0,16.15,15.8,16.0,0.2,16.0,5,16.05,3,0.0
3059,2021-12-01,6623529,4170,265372762,39.45,40.6,39.2,40.1,0.5,40.05,8,40.1,7,48.31
3060,2021-12-01,1051512,725,26777266,25.0,25.75,24.75,25.65,0.4,25.6,2,25.65,7,64.12
3062,2021-12-01,35530889,15944,1109901332,31.1,32.9,30.0,32.55,0.55,32.5,20,32.55,31,130.2
3090,2021-12-01,6278672,4277,345543901,54.1,56.6,54.0,55.3,2.1,55.3,26,55.4,56,12.51
3092,2021-12-01,792737,463,42274260,53.8,54.2,52.9,53.8,0.0,53.8,17,53.9,31,0.0
3094,2021-12-01,1148880,827,40097907,34.1,35.4,33.65,35.2,1.2,35.15,13,35.2,6,48.22
3130,2021-12-01,5428,19,955377,175.0,176.5,175.0,176.0,0.0,175.5,1,176.0,50,16.86
3138,2021-12-01,916896,1028,201842718,220.5,224.0,215.5,219.5,1.5,219.5,7,220.0,1,51.41
3149,2021-12-01,573214,399,17660459,30.9,31.1,30.35,30.95,0.0,30.95,34,31.0,1,0.0
3164,2021-12-01,61228,31,1458385,24.0,24.0,23.8,24.0,0.0,23.9,1,23.95,10,26.97
3167,2021-12-01,323731,234,31589630,99.2,99.2,96.6,97.5,0.8,97.4,3,97.7,2,11.88
3189,2021-12-01,12419350,10727,2872550919,236.5,237.5,228.0,228.0,12.5,228.0,395,228.5,12,38.58
3209,2021-12-01,252826,255,7358984,29.1,29.25,28.95,29.2,0.1,29.15,7,29.2,6,8.18
3229,2021-12-01,3158,15,20829,6.54,6.6,6.54,6.6,0.06,6.61,3,6.8,2,0.0
3231,2021-12-01,12627040,5227,367932052,28.95,29.35,28.85,29.3,0.7,29.25,109,29.3,108,11.23
3257,2021-12-01,236227,257,16274356,68.1,69.3,68.0,69.2,1.3,69.0,9,69.2,6,13.7
3266,2021-12-01,7000,6,93200,13.2,13.45,13.2,13.45,0.05,13.35,26,13.4,1,37.36
3296,2021-12-01,270354,165,4921778,18.3,18.45,18.05,18.45,0.25,18.1,2,18.45,1,0.0
3305,2021-12-01,8627106,6098,696678066,82.0,82.7,79.9,80.8,3.6,80.7,41,80.8,8,20.66
3308,2021-12-01,43888,30,353743,8.21,8.21,7.94,8.1,0.11,8.02,10,8.1,1,0.0
3311,2021-12-01,16228,32,546374,33.6,33.85,33.45,33.85,0.25,33.7,1,33.85,1,32.24
3312,2021-12-01,11324273,5613,321310750,28.6,29.05,27.5,28.5,0.1,28.5,2,28.55,22,9.08
3321,2021-12-01,289475,139,3812737,13.4,13.4,13.1,13.15,0.05,13.15,20,13.3,26,0.0
3338,2021-12-01,2352739,1492,129744479,54.2,56.6,53.6,56.6,1.3,56.5,8,56.6,6,32.16
3346,2021-12-01,427760,322,18566372,42.4,43.95,42.0,43.65,0.35,43.6,1,43.7,3,35.2
3356,2021-12-01,184522,206,5538460,29.7,30.2,29.7,30.05,0.25,30.05,6,30.2,8,13.98
3376,2021-12-01,402828,376,38088563,94.2,95.3,94.0,95.3,1.3,95.3,4,95.4,4,13.27
3380,2021-12-01,923180,633,26513956,28.65,29.15,28.35,28.85,0.35,28.8,11,28.9,19,27.22
3383,2021-12-01,1711,5,6962,4.13,4.13,4.13,4.13,0.13,4.03,1,4.11,20,0.0
3406,2021-12-01,4559892,4814,2517476082,548.0,560.0,538.0,557.0,9.0,556.0,17,557.0,30,26.31
3413,2021-12-01,1689802,1345,383760115,222.0,231.5,219.5,229.5,5.5,229.0,14,229.5,18,14.32
3416,2021-12-01,49212,42,3841819,78.8,78.8,77.6,78.2,0.1,78.1,1,78.3,3,15.77
3419,2021-12-01,28273464,10561,775209157,28.8,28.8,27.25,27.6,2.65,27.6,64,27.65,17,0.0
3432,2021-12-01,267000,120,3778750,14.35,14.35,14.0,14.25,0.1,14.2,5,14.25,9,21.92
3437,2021-12-01,845930,625,20643370,24.2,24.65,23.6,24.6,0.8,24.55,1,24.6,32,76.88
3443,2021-12-01,1392097,1348,817075808,585.0,593.0,579.0,592.0,3.0,591.0,3,592.0,15,51.08
3450,2021-12-01,158822,123,9080117,57.1,57.5,56.9,57.4,0.2,57.3,5,57.5,8,23.62
3454,2021-12-01,21674,39,1531300,70.1,71.1,70.1,70.5,0.4,70.5,1,70.8,1,36.53
3481,2021-12-01,91971258,20918,1617549751,17.3,17.85,17.3,17.7,0.25,17.65,769,17.7,577,3.03
3494,2021-12-01,127828,120,636616,4.95,5.03,4.91,5.0,0.16,4.93,3,5.0,3,0.0
3501,2021-12-01,58103,47,2799624,47.9,48.4,47.9,48.2,0.1,48.1,10,48.3,2,16.23
3504,2021-12-01,2381846,1790,294455311,122.5,126.0,121.5,125.5,1.0,125.0,39,125.5,11,0.0
3515,2021-12-01,7294817,5768,1806950889,241.5,255.0,236.5,250.0,11.0,250.0,31,250.5,7,14.66
3518,2021-12-01,72008,45,1647437,22.6,23.0,22.6,22.95,0.05,22.9,1,22.95,1,573.75
3528,2021-12-01,35666,29,1771559,49.8,50.2,49.5,49.5,0.7,49.5,14,49.95,1,12.34
3530,2021-12-01,1264110,990,177912723,141.0,142.0,138.5,141.0,2.0,141.0,38,141.5,8,14.6
3532,2021-12-01,11294188,9746,2933362876,254.0,265.0,251.0,264.0,14.0,263.0,3,264.0,6,76.97
3533,2021-12-01,522772,583,351964255,680.0,684.0,668.0,672.0,15.0,672.0,21,675.0,4,22.85
3535,2021-12-01,3701717,1917,71725098,18.65,20.1,18.3,19.85,0.85,19.85,13,19.9,13,0.0
3536,2021-12-01,41300,11,247884,6.09,6.09,6.0,6.0,0.01,5.75,4,6.0,33,0.0
3543,2021-12-01,46000,21,1250250,27.45,27.45,27.05,27.25,0.1,27.05,5,27.15,2,10.17
3545,2021-12-01,7350541,6116,1235590311,164.0,170.0,163.5,169.5,3.5,169.0,157,169.5,32,6.86
3550,2021-12-01,370805,178,6635142,17.8,18.05,17.6,18.05,0.25,18.0,13,18.05,18,12.28
3557,2021-12-01,548969,458,42606340,79.0,79.0,76.3,77.7,0.9,77.7,6,77.9,5,9.79
3563,2021-12-01,129280,463,30146203,235.0,235.0,231.0,233.0,3.5,233.0,7,233.5,2,13.06
3576,2021-12-01,3963312,1971,83224543,20.9,21.15,20.85,20.9,0.3,20.9,244,21.0,10,0.0
3583,2021-12-01,961617,761,77300596,80.2,81.2,79.3,81.1,0.3,81.0,5,81.1,1,16.22
3588,2021-12-01,11392136,11714,1846814664,163.0,168.5,157.0,168.5,0.0,168.0,5,168.5,137,37.44
3591,2021-12-01,904038,561,20791996,22.9,23.2,22.65,23.1,0.2,23.1,18,23.15,38,27.18
3593,2021-12-01,39343,41,627777,16.0,16.2,15.8,16.0,0.3,15.95,6,16.0,13,23.88
3596,2021-12-01,3263509,2336,353421317,107.5,110.5,105.5,110.5,0.5,110.0,30,110.5,100,12.53
3605,2021-12-01,4317349,2832,222811672,49.8,52.6,49.05,51.9,2.1,51.9,25,52.0,60,12.45
3607,2021-12-01,894377,487,13329251,14.5,15.2,14.4,15.0,0.5,14.95,10,15.0,15,0.0
3617,2021-12-01,50150,45,3437800,68.5,69.4,68.2,69.4,0.9,69.4,7,69.5,4,21.42
3622,2021-12-01,137240,113,4029837,29.05,29.75,28.9,29.55,0.35,29.55,11,29.6,1,19.97
3645,2021-12-01,2063874,1421,91287453,43.65,45.2,43.45,43.6,0.7,43.6,5,43.7,1,16.9
3653,2021-12-01,1681615,1756,742576748,436.0,447.5,433.0,439.5,0.5,439.0,10,440.0,1,52.45
3661,2021-12-01,2057978,2350,2043837730,1000.0,1015.0,981.0,990.0,30.0,989.0,5,990.0,15,50.74
3665,2021-12-01,743549,733,188746737,255.5,256.0,251.0,255.0,3.5,255.0,77,255.5,17,16.58
3669,2021-12-01,461281,621,24880396,52.5,54.9,52.5,53.5,0.7,53.5,6,53.6,4,6.08
3673,2021-12-01,890866,668,35888107,39.85,40.6,39.85,40.45,0.95,40.45,3,40.5,20,13.81
3679,2021-12-01,38209,42,3199602,83.2,84.5,83.1,84.1,0.8,84.1,3,84.5,1,8.31
3682,2021-12-01,2119877,835,17733440,8.4,8.4,8.31,8.38,0.2,8.37,1,8.38,1,0.0
3686,2021-12-01,482385,255,7399701,15.3,15.6,15.25,15.3,0.25,15.3,14,15.35,2,0.0
3694,2021-12-01,339300,165,8377940,24.7,24.95,24.3,24.9,0.15,24.85,7,24.9,7,15.56
3701,2021-12-01,36545074,22152,3281980279,89.2,94.5,85.2,92.5,5.2,92.2,12,92.5,4,87.26
3702,2021-12-01,2435750,1775,122570277,50.0,50.6,50.0,50.4,0.1,50.4,100,50.5,36,8.7
3702A,2021-12-01,23106,15,1148852,49.7,49.8,49.65,49.8,0.0,49.65,23,49.75,5,0.0
3703,2021-12-01,670021,415,16897600,25.15,25.5,25.05,25.2,0.0,25.2,10,25.25,6,14.82
3704,2021-12-01,8611416,4592,284906109,33.2,33.6,32.8,33.0,0.85,33.0,211,33.05,2,10.78
3705,2021-12-01,138356,100,5985007,43.3,43.45,43.15,43.35,0.05,43.25,1,43.45,2,16.0
3706,2021-12-01,6064538,3435,193488904,31.7,32.2,31.6,32.15,0.15,32.15,31,32.2,94,3.12
3708,2021-12-01,858387,848,77837654,88.2,91.7,88.2,90.9,2.7,90.9,8,91.2,1,43.49
3711,2021-12-01,12930066,6359,1330117281,101.0,104.5,100.5,104.0,2.0,104.0,611,104.5,282,10.43
3712,2021-12-01,662541,358,20589919,31.3,31.35,30.7,31.25,0.2,31.25,20,31.3,13,15.94
3714,2021-12-01,5918518,3905,466391804,76.6,79.8,76.6,79.6,2.2,79.6,27,79.7,37,0.0
4104,2021-12-01,118636,133,6752743,56.7,57.3,56.5,57.2,1.1,57.2,1,57.3,3,13.99
4106,2021-12-01,2554215,1574,76235898,29.8,30.75,29.25,29.45,0.6,29.4,1,29.45,5,27.27
4108,2021-12-01,470710,318,10799153,22.9,23.2,22.7,23.0,0.3,22.95,1,23.0,1,0.0
4119,2021-12-01,99682,195,7852453,78.6,79.1,78.6,78.8,0.2,78.8,6,78.9,2,0.0
4133,2021-12-01,3701404,2548,155893553,42.0,43.45,40.8,41.5,1.05,41.5,10,41.55,4,63.85
4137,2021-12-01,146614,157,36330407,248.0,250.0,247.0,247.5,1.5,247.0,24,247.5,119,14.7
4141,2021-12-01,2616245,1377,57774230,22.25,22.5,21.7,21.95,0.05,21.95,16,22.0,8,0.0
4142,2021-12-01,2127157,1515,96530597,45.5,46.2,45.0,45.05,0.05,45.05,16,45.1,12,19.59
4148,2021-12-01,67101,41,2826642,42.1,42.7,42.0,42.0,0.3,42.0,2,42.25,1,17.5
4155,2021-12-01,71117,52,1644365,23.05,23.2,23.05,23.15,0.05,23.1,3,23.15,5,27.24
4164,2021-12-01,80462,79,2972401,37.0,37.05,36.85,37.0,0.0,36.95,1,37.0,7,19.68
4190,2021-12-01,8010,10,582630,72.5,73.0,72.5,73.0,0.5,72.6,1,72.8,2,13.3
4306,2021-12-01,759144,427,11410886,15.05,15.15,14.95,15.15,0.1,15.1,6,15.15,6,27.05
4414,2021-12-01,6128754,1460,45534189,7.57,7.57,7.37,7.37,0.2,7.36,107,7.37,176,0.0
4426,2021-12-01,387504,257,8441786,22.15,22.6,21.5,21.55,0.4,21.55,2,21.65,3,0.0
4438,2021-12-01,151105,178,21274205,140.0,141.5,139.5,141.0,1.0,140.5,1,141.0,5,25.73
4439,2021-12-01,2000,2,279000,139.5,139.5,139.5,139.5,2.0,138.0,2,140.0,1,11.54
4440,2021-12-01,187216,121,8646318,46.5,46.95,45.8,46.95,0.45,46.75,1,46.95,4,11.62
4526,2021-12-01,131061,147,2213927,16.9,17.0,16.8,16.9,0.0,16.9,3,17.0,4,0.0
4532,2021-12-01,530647,198,10064437,18.85,19.05,18.8,19.05,0.05,19.05,100,19.1,71,14.32
4536,2021-12-01,139476,145,19471872,139.0,141.0,137.0,141.0,1.0,140.5,3,141.0,3,16.95
4540,2021-12-01,35072,24,1677927,47.4,48.3,47.2,47.95,0.4,47.95,1,48.1,1,19.33
4545,2021-12-01,17000,13,473150,27.75,28.2,27.75,27.8,0.2,27.8,1,27.9,1,25.04
4551,2021-12-01,205150,765,36501531,180.0,180.0,177.0,177.5,3.5,177.0,5,178.0,2,16.94
4552,2021-12-01,94580,65,2971348,30.8,31.85,30.8,31.65,0.95,31.6,3,31.65,1,11.14
4555,2021-12-01,14000,14,725100,52.0,52.0,51.3,51.4,0.6,51.4,1,51.6,1,15.34
4557,2021-12-01,122163,96,8388706,68.0,69.1,67.8,69.0,1.2,69.0,3,69.2,1,17.92
4560,2021-12-01,126000,75,5265400,41.9,42.3,41.55,42.3,0.35,42.2,1,42.4,1,17.7
4562,2021-12-01,239066,119,4164004,17.75,17.75,17.3,17.3,0.4,17.3,3,17.4,2,0.0
4564,2021-12-01,355042,228,14224835,39.9,40.55,39.7,40.5,0.6,40.5,17,40.55,2,20.88
4566,2021-12-01,66225,45,2930267,43.65,44.7,43.65,44.7,0.5,44.6,1,44.7,1,17.88
4571,2021-12-01,561873,427,54126149,90.0,98.5,89.8,98.5,8.9,98.0,21,98.5,4,10.98
4572,2021-12-01,35416,40,3546498,100.0,101.0,99.5,100.0,0.5,100.0,7,100.5,1,89.29
4576,2021-12-01,69068,156,7118156,102.5,104.5,102.5,102.5,1.5,102.5,7,104.5,2,44.37
4581,2021-12-01,7090,7,253726,35.9,36.0,35.2,35.2,0.8,35.25,1,36.0,7,17.25
4720,2021-12-01,87563,62,1255385,14.3,14.45,14.25,14.45,0.1,14.35,4,14.45,8,32.11
4722,2021-12-01,220842,225,9546242,43.0,43.45,42.7,43.25,0.1,43.25,1,43.35,1,11.38
4737,2021-12-01,19030,20,1295606,67.7,68.4,67.7,68.0,0.1,67.9,3,68.1,1,40.72
4739,2021-12-01,3889061,3129,554913916,142.5,146.0,139.5,145.5,1.0,145.0,35,145.5,33,34.15
4746,2021-12-01,1025273,626,57300156,56.2,56.4,55.7,55.7,0.3,55.7,78,55.9,2,5.18
4755,2021-12-01,484118,450,39352834,80.1,83.0,79.3,82.7,2.6,82.6,1,82.7,4,17.86
4763,2021-12-01,48925,65,4840007,99.1,99.1,98.6,98.8,0.3,98.8,3,98.9,1,11.44
4764,2021-12-01,5000,5,300600,60.5,60.5,59.6,60.4,0.0,59.9,2,60.2,1,44.41
4766,2021-12-01,89669,98,12510346,140.5,140.5,138.5,139.5,5.0,139.0,1,139.5,1,15.53
4807,2021-12-01,52040,32,1433712,27.5,27.9,27.4,27.7,0.1,27.65,1,27.8,4,10.95
4904,2021-12-01,4113518,2450,257115769,61.8,63.2,61.7,62.9,1.4,62.9,4,63.0,76,22.71
4906,2021-12-01,1987699,927,54520845,27.1,27.7,27.0,27.6,0.35,27.55,27,27.6,38,19.44
4912,2021-12-01,146444,1474,24567456,169.5,169.5,166.5,167.0,2.0,166.5,22,167.0,4,15.39
4915,2021-12-01,21317944,11608,1166788540,54.0,55.4,53.8,55.1,2.3,55.1,18,55.2,83,11.55
4916,2021-12-01,5067023,3083,158088813,31.35,32.0,30.5,32.0,1.0,31.8,11,32.0,27,123.08
4919,2021-12-01,59848932,36175,9567946393,158.0,162.5,156.0,162.5,7.0,162.5,17,163.0,868,34.65
4927,2021-12-01,20240818,10304,2167727691,110.5,113.0,103.0,103.0,11.0,,0,103.0,3455,18.9
4930,2021-12-01,389392,316,10090870,25.35,26.35,25.35,26.15,0.7,25.95,1,26.15,1,7.67
4934,2021-12-01,1535908,1428,51882159,33.4,34.25,33.4,33.85,0.25,33.8,35,33.85,2,0.0
4935,2021-12-01,361647,285,28306256,76.3,79.2,76.3,79.0,2.1,78.9,1,79.0,11,7.42
4938,2021-12-01,4660256,3244,311333080,66.5,67.2,66.4,66.9,0.3,66.9,64,67.0,81,10.23
4942,2021-12-01,175090,129,8003512,45.8,45.9,45.55,45.9,0.2,45.8,1,45.9,8,7.09
4943,2021-12-01,1960243,1392,76681537,38.9,40.25,36.85,39.05,0.25,39.05,3,39.1,6,0.0
4952,2021-12-01,1216464,1028,89481236,73.0,74.4,72.4,74.4,0.7,74.3,12,74.4,17,14.04
4956,2021-12-01,13627728,6479,370816627,25.8,27.85,25.8,27.3,1.25,27.3,203,27.35,52,19.09
4958,2021-12-01,2195274,1372,217222330,98.0,99.7,98.0,99.5,1.5,99.4,2,99.5,5,10.33
4960,2021-12-01,2548499,968,32173770,12.6,12.75,12.5,12.65,0.05,12.65,32,12.7,174,10.04
4961,2021-12-01,7141563,5682,1807825046,245.0,257.5,245.0,257.5,9.0,257.0,14,257.5,10,9.8
4967,2021-12-01,1145755,739,49691634,42.85,44.4,42.45,44.4,1.15,44.3,10,44.4,5,33.89
4968,2021-12-01,1513976,1686,422484592,275.0,284.0,272.0,277.5,2.5,277.5,6,278.0,2,28.35
4976,2021-12-01,2465183,2636,179094621,72.6,73.2,71.7,73.0,1.0,73.0,1,73.1,2,292.0
4977,2021-12-01,46400,52,3958140,85.7,85.7,85.2,85.4,0.1,85.3,3,85.4,1,16.11
4989,2021-12-01,3282365,3289,161815823,48.8,49.85,48.3,49.35,0.55,49.35,12,49.4,4,17.56
4994,2021-12-01,20000,18,1049800,52.9,53.0,52.0,53.0,0.6,52.3,1,52.6,1,21.29
4999,2021-12-01,60025,55,2474330,41.2,41.5,40.65,41.2,0.0,41.2,4,41.35,2,11.81
5007,2021-12-01,167072,132,9378995,56.2,57.1,55.8,56.6,1.0,56.3,1,56.6,1,17.05
5203,2021-12-01,101270,114,9191912,90.1,91.2,90.1,90.9,0.9,90.8,1,91.1,1,45.0
5215,2021-12-01,76062,83,5393094,70.3,71.5,70.2,71.3,1.0,71.2,2,71.3,2,6.42
5222,2021-12-01,770766,784,160328434,207.0,210.5,205.0,209.0,1.0,209.0,9,209.5,1,51.6
5225,2021-12-01,41094,30,882598,21.3,21.65,21.3,21.5,0.15,21.45,2,21.5,18,0.0
5234,2021-12-01,545131,435,62775016,115.0,117.0,112.0,116.0,1.0,115.5,5,116.0,3,18.04
5243,2021-12-01,1593221,1305,108865680,68.8,69.3,67.2,69.1,0.4,69.0,16,69.2,5,24.08
5258,2021-12-01,2449231,1443,83663476,32.5,34.75,32.4,34.5,1.9,34.45,1,34.5,6,17.78
5269,2021-12-01,794125,1515,1563976565,1950.0,2005.0,1905.0,2000.0,55.0,1995.0,11,2000.0,11,43.05
5283,2021-12-01,19256,50,2226601,114.5,116.0,114.5,115.5,0.0,115.5,4,116.0,9,10.44
5284,2021-12-01,7001,7,311893,44.95,44.95,44.05,44.35,0.5,44.1,2,44.6,2,13.01
5285,2021-12-01,1218772,882,132361096,107.0,110.5,105.5,110.5,2.5,110.0,19,110.5,33,23.92
5288,2021-12-01,166010,120,23643415,142.0,144.5,141.0,143.5,1.0,143.5,1,144.0,2,13.05
5388,2021-12-01,309379,253,20427945,65.1,66.6,65.0,66.5,0.8,66.4,11,66.6,31,21.11
5434,2021-12-01,179505,205,26441905,146.0,148.5,146.0,148.5,2.5,148.0,9,148.5,4,12.21
5469,2021-12-01,1115553,766,50291951,44.5,45.3,44.5,45.2,0.65,45.2,14,45.25,21,6.3
5471,2021-12-01,5255679,3654,497303094,91.5,96.6,91.1,96.5,4.0,96.4,21,96.5,86,11.26
5484,2021-12-01,26009,27,415844,16.0,16.1,15.95,15.95,0.05,15.9,3,16.0,7,0.0
5515,2021-12-01,402229,185,5645928,13.95,14.15,13.9,14.1,0.15,14.05,7,14.1,7,7.79
5519,2021-12-01,216138,140,4522073,20.75,21.05,20.75,20.95,0.0,20.95,3,21.0,9,9.31
5521,2021-12-01,659654,298,5593551,8.45,8.51,8.43,8.51,0.03,8.51,8,8.52,14,0.0
5522,2021-12-01,392886,380,25706870,64.6,66.2,64.5,65.8,1.2,65.8,5,65.9,6,10.7
5525,2021-12-01,42876,32,1232971,28.55,28.85,28.55,28.85,0.3,28.8,2,28.9,26,0.0
5531,2021-12-01,2940149,1230,33211232,10.7,11.5,10.7,11.3,0.55,11.3,23,11.35,2,1130.0
5533,2021-12-01,230750,111,4366504,18.85,19.0,18.85,19.0,0.15,18.9,2,19.0,23,9.84
5534,2021-12-01,296607,229,21694062,73.4,73.5,72.7,73.5,0.5,73.4,2,73.6,3,15.51
5538,2021-12-01,93040,85,4804362,51.5,53.0,51.2,51.5,0.3,51.5,7,51.7,2,8.58
5546,2021-12-01,16000,14,952200,60.0,60.0,59.4,59.6,0.4,59.6,1,59.8,10,13.13
5607,2021-12-01,4173530,3186,242771029,55.1,60.0,54.4,59.7,4.6,59.7,2,59.8,23,23.69
5608,2021-12-01,6045660,3462,255551146,42.8,42.9,41.8,42.45,0.25,42.45,65,42.5,25,9.58
5706,2021-12-01,245094,207,10294497,42.25,42.5,41.65,42.4,0.1,42.35,3,42.4,4,40.77
5871,2021-12-01,3283944,2551,817291117,247.0,251.5,244.0,251.0,4.0,250.5,10,251.0,55,19.58
5871A,2021-12-01,261969,162,26454883,100.5,101.0,100.5,100.5,0.5,100.5,525,101.0,124,0.0
5876,2021-12-01,2639447,1573,122476483,45.5,46.8,45.5,46.55,0.2,46.45,24,46.55,11,14.82
5880,2021-12-01,9333106,4489,221902172,23.55,23.9,23.55,23.85,0.1,23.85,46,23.9,1330,15.79
5906,2021-12-01,261102,16,10168663,38.95,38.95,38.1,38.95,0.0,38.55,1,39.0,2,11.77
5907,2021-12-01,113041,66,2040906,18.35,18.35,17.95,18.05,0.6,18.0,11,18.05,1,82.05
6005,2021-12-01,2465784,790,39788544,16.05,16.25,16.05,16.25,0.1,16.2,46,16.25,189,6.74
6024,2021-12-01,109239,83,4212077,38.6,38.6,38.5,38.6,0.0,38.55,7,38.6,1,15.2
6108,2021-12-01,306015,200,6620616,21.45,21.75,21.45,21.7,0.25,21.65,10,21.75,35,23.09
6112,2021-12-01,85257,90,3300210,38.1,38.95,38.1,38.95,1.0,38.75,2,38.95,1,12.65
6115,2021-12-01,31320,49,1336675,42.7,42.85,42.55,42.8,0.2,42.75,2,42.8,3,15.45
6116,2021-12-01,22978280,5372,356967621,15.25,15.7,15.15,15.65,0.3,15.65,186,15.7,514,4.77
6117,2021-12-01,6340,13,105340,16.6,16.6,16.6,16.6,0.0,16.35,2,16.65,6,0.0
6120,2021-12-01,1141707,585,12559637,10.8,11.15,10.8,11.1,0.25,11.05,12,11.1,7,0.0
6128,2021-12-01,109462,74,3157155,28.65,28.95,28.55,28.9,0.25,28.9,7,28.95,6,12.25
6133,2021-12-01,31116,21,270886,8.68,8.73,8.68,8.71,0.06,8.68,1,8.71,1,0.0
6136,2021-12-01,386636,240,7120284,18.5,18.65,18.25,18.5,0.05,18.4,13,18.5,11,30.33
6139,2021-12-01,216062,134,6076305,28.15,28.45,27.9,28.3,0.15,28.3,9,28.45,3,29.18
6141,2021-12-01,210143,121,5576103,26.5,26.8,26.2,26.65,0.15,26.55,12,26.65,5,8.38
6142,2021-12-01,442880,191,4960691,11.2,11.25,11.15,11.25,0.0,11.2,3,11.25,29,0.0
6152,2021-12-01,688712,279,7276877,10.45,10.8,10.45,10.65,0.05,10.65,457,10.7,10,0.0
6153,2021-12-01,1442685,967,35717867,24.3,25.1,24.2,25.0,0.65,25.0,49,25.05,43,113.64
6155,2021-12-01,83371,65,2042103,24.25,24.7,24.25,24.55,0.1,24.5,13,24.55,1,34.58
6164,2021-12-01,2517901,1027,37459663,14.3,15.1,14.25,14.85,0.4,14.85,21,14.9,24,46.41
6165,2021-12-01,365110,262,13932641,37.8,38.65,37.8,38.1,0.2,38.1,8,38.15,1,8.9
6166,2021-12-01,156972,106,9968036,63.2,64.3,62.9,64.2,0.9,63.8,4,64.2,5,156.59
6168,2021-12-01,2551581,1455,70102939,26.8,27.9,26.6,27.75,0.45,27.7,23,27.75,6,15.68
6176,2021-12-01,857532,722,83066564,96.1,97.6,96.0,97.1,1.1,97.1,2,97.2,7,8.24
6177,2021-12-01,1190382,210,35664988,29.65,30.2,29.6,30.05,0.25,30.0,14,30.05,25,16.42
6183,2021-12-01,22696,28,1132420,49.7,50.0,49.7,50.0,0.3,49.9,1,50.0,2,19.08
6184,2021-12-01,81710,43,3562822,43.7,43.7,43.55,43.7,0.05,43.65,8,43.7,1,14.01
6189,2021-12-01,200647,187,8136355,40.5,40.65,40.3,40.65,0.05,40.6,14,40.65,13,10.34
6191,2021-12-01,5072503,3885,193435643,37.8,38.45,37.5,38.2,0.55,38.15,24,38.2,9,6.36
6192,2021-12-01,40131,40,2777606,69.3,69.8,68.8,69.8,0.8,69.6,1,69.8,6,9.06
6196,2021-12-01,3948507,3466,598914283,151.5,155.0,147.5,155.0,3.5,154.5,1,155.0,183,23.07
6197,2021-12-01,280283,211,10520466,37.35,37.75,37.3,37.75,0.4,37.65,16,37.75,2,14.98
6201,2021-12-01,10000,9,430150,43.0,43.1,42.9,43.0,0.0,42.85,2,43.15,1,11.59
6202,2021-12-01,1309642,1103,140896203,105.5,109.5,104.5,109.0,3.0,108.5,18,109.0,1,12.73
6205,2021-12-01,8351451,3987,466638225,55.5,57.8,54.0,57.0,1.5,56.9,1,57.0,45,31.84
6206,2021-12-01,299215,285,21276464,71.1,71.8,70.5,71.2,1.0,71.1,6,71.2,6,18.74
6209,2021-12-01,1400022,1081,46738352,33.8,33.8,32.9,33.8,0.0,33.75,52,33.8,3,0.0
6213,2021-12-01,2834159,1943,365075141,126.5,130.0,126.0,129.5,2.5,129.5,98,130.0,206,15.93
6214,2021-12-01,138250,122,11851245,85.6,85.9,85.5,85.7,0.2,85.7,6,85.8,3,15.06
6215,2021-12-01,921604,529,29297886,31.15,32.2,31.0,31.8,0.4,31.75,5,31.8,2,10.6
6216,2021-12-01,236130,172,6279106,26.6,26.85,26.5,26.8,0.05,26.8,2,26.85,4,17.52
6224,2021-12-01,530541,566,63606940,119.0,121.0,119.0,121.0,0.5,120.5,21,121.0,6,18.67
6225,2021-12-01,4000,3,28490,7.19,7.19,7.1,7.1,0.13,6.71,1,7.09,3,0.0
6226,2021-12-01,14049865,5246,220638532,15.05,16.15,14.95,15.8,0.55,15.8,230,15.85,22,131.67
6230,2021-12-01,8150,12,1361462,163.5,168.5,163.5,168.5,3.0,165.5,1,168.5,2,26.79
6235,2021-12-01,12058795,3470,285586319,23.5,23.9,23.0,23.9,2.15,23.9,68435,,0,27.47
6239,2021-12-01,7519833,4574,744970416,99.2,99.7,98.6,99.1,0.0,99.0,255,99.1,211,9.46
6243,2021-12-01,11116503,6901,697481498,58.8,64.6,57.3,64.6,5.8,64.6,21559,,0,150.23
